#ID;Beschrieb/BaumNr;Baumart-Code;Längenklasse;Stärkenklasse;Anzahl Stücke;LaengeMin [m];LaengeMax [m];MittendurchmesserMin [cm];MittendurchmesserMax [cm];ZopfdurchmesserMin [cm];ZopfdurchmesserMax [cm];Längenzugabe [cm];Längenzugabe [%];Position am Stamm unten [m];Position am Stamm oben [m];Längen-Intervall [m];Aushalte-Strategie;Positionierung;Wert A;Wert B;Wert C;Wert D;Anteil A;Anteil B;Anteil C;Anteil D;
1;L3 6;100;L3;6;999999;15.0;22.0;60.0;999.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;290.0;145.0;110.0;75.0;0.05;0.45;0.4;0.1;
2;L3 5;100;L3;5;999999;15.0;22.0;50.0;60.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;290.0;140.0;110.0;75.0;0.05;0.5;0.35;0.1;
3;L3 4;100;L3;4;999999;15.0;22.0;40.0;50.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;140.0;140.0;115.0;75.0;0.0;0.5;0.4;0.1;
4;L3 3b;100;L3;3b;999999;15.0;22.0;35.0;40.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;135.0;115.0;75.0;0.0;0.5;0.4;0.1;
5;L3 3a;100;L3;3a;999999;15.0;22.0;30.0;35.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;135.0;115.0;75.0;0.0;0.5;0.4;0.1;
6;L3 2b;100;L3;2b;999999;15.0;22.0;25.0;30.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;130.0;130.0;105.0;75.0;0.0;0.4;0.5;0.1;
7;L3 2a;100;L3;2a;999999;15.0;22.0;20.0;25.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;115.0;115.0;100.0;70.0;0.0;0.4;0.5;0.1;
8;L3 1b;100;L3;1b;999999;15.0;22.0;15.0;20.0;14.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;80.0;80.0;70.0;70.0;0.0;0.4;0.5;0.1;
9;L3 1a;100;L3;1a;999999;15.0;22.0;10.0;15.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
10;L2 6;100;L2;6;999999;6.5;14.5;60.0;999.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;290.0;145.0;110.0;75.0;0.05;0.45;0.4;0.1;
11;L2 5;100;L2;5;999999;6.5;14.5;50.0;60.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;290.0;140.0;110.0;75.0;0.05;0.5;0.35;0.1;
12;L2 4;100;L2;4;999999;6.5;14.5;40.0;50.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;140.0;140.0;115.0;75.0;0.0;0.5;0.4;0.1;
13;L2 3b;100;L2;3b;999999;6.5;14.5;35.0;40.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;135.0;115.0;75.0;0.0;0.5;0.4;0.1;
14;L2 3a;100;L2;3a;999999;6.5;14.5;30.0;35.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;135.0;115.0;75.0;0.0;0.5;0.4;0.1;
15;L2 2b;100;L2;2b;999999;6.5;14.5;25.0;30.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;130.0;130.0;105.0;75.0;0.0;0.4;0.5;0.1;
16;L2 2a;100;L2;2a;999999;6.5;14.5;20.0;25.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;115.0;115.0;100.0;70.0;0.0;0.4;0.5;0.1;
17;L2 1b;100;L2;1b;999999;6.5;14.5;15.0;20.0;14.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;80.0;80.0;70.0;70.0;0.0;0.4;0.5;0.1;
18;L2 1a;100;L2;1a;999999;6.5;14.5;10.0;15.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
19;L1 6;100;L1;6;999999;3.0;6.0;60.0;999.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;290.0;190.0;105.0;75.0;0.05;0.45;0.4;0.1;
20;L1 5;100;L1;5;999999;3.0;6.0;50.0;60.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;290.0;170.0;105.0;75.0;0.05;0.5;0.35;0.1;
21;L1 4;100;L1;4;999999;3.0;6.0;40.0;50.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;150.0;150.0;110.0;75.0;0.0;0.5;0.4;0.1;
22;L1 3b;100;L1;3b;999999;3.0;6.0;35.0;40.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;135.0;110.0;75.0;0.0;0.5;0.4;0.1;
23;L1 3a;100;L1;3a;999999;3.0;6.0;30.0;35.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;130.0;130.0;110.0;75.0;0.0;0.5;0.4;0.1;
24;L1 2b;100;L1;2b;999999;3.0;6.0;25.0;30.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;125.0;325.0;105.0;75.0;0.0;0.4;0.5;0.1;
25;L1 2a;100;L1;2a;999999;3.0;6.0;20.0;25.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;115.0;115.0;100.0;70.0;0.0;0.4;0.5;0.1;
26;L1 1b;100;L1;1b;999999;3.0;6.0;15.0;20.0;14.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;80.0;80.0;70.0;70.0;0.0;0.4;0.5;0.1;
27;L1 1a;100;L1;1a;999999;3.0;6.0;10.0;15.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
28;Restholz;100;Restholz;Restholz;999999;0.0;999.0;0.0;999.0;0.0;999.0;0.0;0.0;0.3;999.0;0.0;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
29;L3 6;101;L3;6;999999;15.0;22.0;60.0;999.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;196.0;171.0;94.5;70.0;0.05;0.45;0.4;0.1;
30;L3 5;101;L3;5;999999;15.0;22.0;50.0;60.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;196.0;153.0;94.5;70.0;0.05;0.5;0.35;0.1;
31;L3 4;101;L3;4;999999;15.0;22.0;40.0;50.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;135.0;99.0;70.0;0.0;0.5;0.4;0.1;
32;L3 3b;101;L3;3b;999999;15.0;22.0;35.0;40.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;121.5;121.5;99.0;70.0;0.0;0.5;0.4;0.1;
33;L3 3a;101;L3;3a;999999;15.0;22.0;30.0;35.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;117.0;117.0;99.0;70.0;0.0;0.5;0.4;0.1;
34;L3 2b;101;L3;2b;999999;15.0;22.0;25.0;30.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;112.5;112.5;94.5;70.0;0.0;0.4;0.5;0.1;
35;L3 2a;101;L3;2a;999999;15.0;22.0;20.0;25.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;103.5;103.5;90.0;70.0;0.0;0.4;0.5;0.1;
36;L3 1b;101;L3;1b;999999;15.0;22.0;15.0;20.0;14.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;80.0;80.0;70.0;70.0;0.0;0.4;0.5;0.1;
37;L3 1a;101;L3;1a;999999;15.0;22.0;10.0;15.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
38;L2 6;101;L2;6;999999;6.5;14.5;60.0;999.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;196.0;130.5;99.0;70.0;0.05;0.45;0.4;0.1;
39;L2 5;101;L2;5;999999;6.5;14.5;50.0;60.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;196.0;126.0;99.0;70.0;0.05;0.5;0.35;0.1;
40;L2 4;101;L2;4;999999;6.5;14.5;40.0;50.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;126.0;126.0;103.5;70.0;0.0;0.5;0.4;0.1;
41;L2 3b;101;L2;3b;999999;6.5;14.5;35.0;40.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;121.5;121.5;103.5;70.0;0.0;0.5;0.4;0.1;
42;L2 3a;101;L2;3a;999999;6.5;14.5;30.0;35.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;121.5;121.5;103.5;70.0;0.0;0.5;0.4;0.1;
43;L2 2b;101;L2;2b;999999;6.5;14.5;25.0;30.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;117.0;117.0;94.5;70.0;0.0;0.4;0.5;0.1;
44;L2 2a;101;L2;2a;999999;6.5;14.5;20.0;25.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;103.5;103.5;90.0;70.0;0.0;0.4;0.5;0.1;
45;L2 1b;101;L2;1b;999999;6.5;14.5;15.0;20.0;14.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;80.0;80.0;70.0;70.0;0.0;0.4;0.5;0.1;
46;L2 1a;101;L2;1a;999999;6.5;14.5;10.0;15.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
47;L1 6;101;L1;6;999999;3.0;6.0;60.0;999.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;196.0;130.5;99.0;70.0;0.05;0.45;0.4;0.1;
48;L1 5;101;L1;5;999999;3.0;6.0;50.0;60.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;196.0;126.0;99.0;70.0;0.05;0.5;0.35;0.1;
49;L1 4;101;L1;4;999999;3.0;6.0;40.0;50.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;126.0;126.0;103.5;70.0;0.0;0.5;0.4;0.1;
50;L1 3b;101;L1;3b;999999;3.0;6.0;35.0;40.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;121.5;121.5;103.5;70.0;0.0;0.5;0.4;0.1;
51;L1 3a;101;L1;3a;999999;3.0;6.0;30.0;35.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;121.5;121.5;103.5;70.0;0.0;0.5;0.4;0.1;
52;L1 2b;101;L1;2b;999999;3.0;6.0;25.0;30.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;117.0;117.0;94.5;70.0;0.0;0.4;0.5;0.1;
53;L1 2a;101;L1;2a;999999;3.0;6.0;20.0;25.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;103.5;103.5;90.0;70.0;0.0;0.4;0.5;0.1;
54;L1 1b;101;L1;1b;999999;3.0;6.0;15.0;20.0;14.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;80.0;80.0;70.0;70.0;0.0;0.4;0.5;0.1;
55;L1 1a;101;L1;1a;999999;3.0;6.0;10.0;15.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
56;Restholz;101;Restholz;Restholz;999999;0.0;999.0;0.0;999.0;0.0;999.0;0.0;0.0;0.3;999.0;0.0;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
57;L3 6;102;L3;6;999999;15.0;22.0;60.0;999.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;218.0;180.0;100.0;75.0;0.05;0.45;0.4;0.1;
58;L3 5;102;L3;5;999999;15.0;22.0;50.0;60.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;218.0;160.0;95.0;75.0;0.05;0.5;0.35;0.1;
59;L3 4;102;L3;4;999999;15.0;22.0;40.0;50.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;140.0;140.0;90.0;75.0;0.0;0.5;0.4;0.1;
60;L3 3b;102;L3;3b;999999;15.0;22.0;35.0;40.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;120.0;85.0;75.0;0.0;0.5;0.4;0.1;
61;L3 3a;102;L3;3a;999999;15.0;22.0;30.0;35.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;90.0;80.0;75.0;0.0;0.5;0.4;0.1;
62;L3 2b;102;L3;2b;999999;15.0;22.0;25.0;30.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;130.0;80.0;75.0;75.0;0.0;0.4;0.5;0.1;
63;L3 2a;102;L3;2a;999999;15.0;22.0;20.0;25.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;115.0;70.0;70.0;70.0;0.0;0.4;0.5;0.1;
64;L3 1b;102;L3;1b;999999;15.0;22.0;15.0;20.0;14.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;60.0;60.0;60.0;60.0;0.0;0.4;0.5;0.1;
65;L3 1a;102;L3;1a;999999;15.0;22.0;10.0;15.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;60.0;60.0;60.0;60.0;0.0;0.0;0.0;1.0;
66;L2 6;102;L2;6;999999;6.5;14.5;60.0;999.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;218.0;180.0;100.0;75.0;0.05;0.45;0.4;0.1;
67;L2 5;102;L2;5;999999;6.5;14.5;50.0;60.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;218.0;160.0;95.0;75.0;0.05;0.5;0.35;0.1;
68;L2 4;102;L2;4;999999;6.5;14.5;40.0;50.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;140.0;140.0;90.0;75.0;0.0;0.5;0.4;0.1;
69;L2 3b;102;L2;3b;999999;6.5;14.5;35.0;40.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;120.0;85.0;75.0;0.0;0.5;0.4;0.1;
70;L2 3a;102;L2;3a;999999;6.5;14.5;30.0;35.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;90.0;80.0;75.0;0.0;0.5;0.4;0.1;
71;L2 2b;102;L2;2b;999999;6.5;14.5;25.0;30.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;130.0;80.0;75.0;75.0;0.0;0.4;0.5;0.1;
72;L2 2a;102;L2;2a;999999;6.5;14.5;20.0;25.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;115.0;70.0;70.0;70.0;0.0;0.4;0.5;0.1;
73;L2 1b;102;L2;1b;999999;6.5;14.5;15.0;20.0;14.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;60.0;60.0;60.0;60.0;0.0;0.4;0.5;0.1;
74;L2 1a;102;L2;1a;999999;6.5;14.5;10.0;15.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;60.0;60.0;60.0;60.0;0.0;0.0;0.0;1.0;
75;L1 6;102;L1;6;999999;3.0;6.0;60.0;999.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;218.0;180.0;100.0;75.0;0.05;0.45;0.4;0.1;
76;L1 5;102;L1;5;999999;3.0;6.0;50.0;60.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;218.0;160.0;95.0;75.0;0.05;0.5;0.35;0.1;
77;L1 4;102;L1;4;999999;3.0;6.0;40.0;50.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;140.0;140.0;90.0;75.0;0.0;0.5;0.4;0.1;
78;L1 3b;102;L1;3b;999999;3.0;6.0;35.0;40.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;120.0;85.0;75.0;0.0;0.5;0.4;0.1;
79;L1 3a;102;L1;3a;999999;3.0;6.0;30.0;35.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;90.0;80.0;75.0;0.0;0.5;0.4;0.1;
80;L1 2b;102;L1;2b;999999;3.0;6.0;25.0;30.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;130.0;80.0;75.0;75.0;0.0;0.4;0.5;0.1;
81;L1 2a;102;L1;2a;999999;3.0;6.0;20.0;25.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;115.0;70.0;70.0;70.0;0.0;0.4;0.5;0.1;
82;L1 1b;102;L1;1b;999999;3.0;6.0;15.0;20.0;14.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;60.0;60.0;60.0;60.0;0.0;0.4;0.5;0.1;
83;L1 1a;102;L1;1a;999999;3.0;6.0;10.0;15.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;60.0;60.0;60.0;60.0;0.0;0.0;0.0;1.0;
84;Restholz;102;Restholz;Restholz;999999;0.0;999.0;0.0;999.0;0.0;999.0;0.0;0.0;0.3;999.0;0.0;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
85;L3 6;103;L3;6;999999;15.0;22.0;60.0;999.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;738.0;340.0;220.0;70.0;0.05;0.45;0.4;0.1;
86;L3 5;103;L3;5;999999;15.0;22.0;50.0;60.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;738.0;320.0;200.0;70.0;0.05;0.5;0.35;0.1;
87;L3 4;103;L3;4;999999;15.0;22.0;40.0;50.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;300.0;300.0;180.0;70.0;0.0;0.5;0.4;0.1;
88;L3 3b;103;L3;3b;999999;15.0;22.0;35.0;40.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;260.0;260.0;150.0;70.0;0.0;0.5;0.4;0.1;
89;L3 3a;103;L3;3a;999999;15.0;22.0;30.0;35.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;220.0;220.0;120.0;70.0;0.0;0.5;0.4;0.1;
90;L3 2b;103;L3;2b;999999;15.0;22.0;25.0;30.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;160.0;160.0;100.0;70.0;0.0;0.4;0.5;0.1;
91;L3 2a;103;L3;2a;999999;15.0;22.0;20.0;25.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;140.0;140.0;80.0;70.0;0.0;0.4;0.5;0.1;
92;L3 1b;103;L3;1b;999999;15.0;22.0;15.0;20.0;14.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;80.0;80.0;60.0;60.0;0.0;0.4;0.5;0.1;
93;L3 1a;103;L3;1a;999999;15.0;22.0;10.0;15.0;0.0;999.0;10.0;0.0;0.0;999.0;0.5;MaximalLaenge;ZuUnterst;60.0;60.0;60.0;60.0;0.0;0.0;0.0;1.0;
