#ID;Beschrieb/BaumNr;Baumart-Code;Längenklasse;Stärkenklasse;Anzahl Stücke;LaengeMin [m];LaengeMax [m];MittendurchmesserMin [cm];MittendurchmesserMax [cm];ZopfdurchmesserMin [cm];ZopfdurchmesserMax [cm];Längenzugabe [cm];Längenzugabe [%];Position am Stamm unten [m];Position am Stamm oben [m];Längen-Intervall [m];Aushalte-Strategie;Positionierung;Wert A;Wert B;Wert C;Wert D;Anteil A;Anteil B;Anteil C;Anteil D;
94;L2 6;103;L2;6;999999;6.5;14.5;60.0;999.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;738.0;340.0;220.0;70.0;0.05;0.45;0.4;0.1;
95;L2 5;103;L2;5;999999;6.5;14.5;50.0;60.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;738.0;320.0;200.0;70.0;0.05;0.5;0.35;0.1;
96;L2 4;103;L2;4;999999;6.5;14.5;40.0;50.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;300.0;300.0;180.0;70.0;0.0;0.5;0.4;0.1;
97;L2 3b;103;L2;3b;999999;6.5;14.5;35.0;40.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;260.0;260.0;150.0;70.0;0.0;0.5;0.4;0.1;
98;L2 3a;103;L2;3a;999999;6.5;14.5;30.0;35.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;220.0;220.0;120.0;70.0;0.0;0.5;0.4;0.1;
99;L2 2b;103;L2;2b;999999;6.5;14.5;25.0;30.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;160.0;160.0;100.0;70.0;0.0;0.4;0.5;0.1;
100;L2 2a;103;L2;2a;999999;6.5;14.5;20.0;25.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;140.0;140.0;80.0;70.0;0.0;0.4;0.5;0.1;
101;L2 1b;103;L2;1b;999999;6.5;14.5;15.0;20.0;14.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;80.0;80.0;60.0;60.0;0.0;0.4;0.5;0.1;
102;L2 1a;103;L2;1a;999999;6.5;14.5;10.0;15.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;60.0;60.0;60.0;60.0;0.0;0.0;0.0;1.0;
103;L1 6;103;L1;6;999999;3.0;6.0;60.0;999.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;738.0;390.0;240.0;70.0;0.05;0.45;0.4;0.1;
104;L1 5;103;L1;5;999999;3.0;6.0;50.0;60.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;738.0;360.0;220.0;70.0;0.05;0.5;0.35;0.1;
105;L1 4;103;L1;4;999999;3.0;6.0;40.0;50.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;340.0;340.0;200.0;70.0;0.0;0.5;0.4;0.1;
106;L1 3b;103;L1;3b;999999;3.0;6.0;35.0;40.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;280.0;280.0;180.0;70.0;0.0;0.5;0.4;0.1;
107;L1 3a;103;L1;3a;999999;3.0;6.0;30.0;35.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;240.0;240.0;160.0;70.0;0.0;0.5;0.4;0.1;
108;L1 2b;103;L1;2b;999999;3.0;6.0;25.0;30.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;160.0;160.0;120.0;70.0;0.0;0.4;0.5;0.1;
109;L1 2a;103;L1;2a;999999;3.0;6.0;20.0;25.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;140.0;140.0;100.0;70.0;0.0;0.4;0.5;0.1;
110;L1 1b;103;L1;1b;999999;3.0;6.0;15.0;20.0;14.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;80.0;80.0;60.0;60.0;0.0;0.4;0.5;0.1;
111;L1 1a;103;L1;1a;999999;3.0;6.0;10.0;15.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;60.0;60.0;60.0;60.0;0.0;0.0;0.0;1.0;
112;Restholz;103;Restholz;Restholz;999999;0.0;999.0;0.0;999.0;0.0;999.0;0.0;0.0;0.3;999.0;0.0;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
113;L3 6;199;L3;6;999999;15.0;22.0;60.0;999.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;290.0;145.0;110.0;75.0;0.05;0.45;0.4;0.1;
114;L3 5;199;L3;5;999999;15.0;22.0;50.0;60.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;290.0;140.0;110.0;75.0;0.05;0.5;0.35;0.1;
115;L3 4;199;L3;4;999999;15.0;22.0;40.0;50.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;140.0;140.0;115.0;75.0;0.0;0.5;0.4;0.1;
116;L3 3b;199;L3;3b;999999;15.0;22.0;35.0;40.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;135.0;115.0;75.0;0.0;0.5;0.4;0.1;
117;L3 3a;199;L3;3a;999999;15.0;22.0;30.0;35.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;135.0;115.0;75.0;0.0;0.5;0.4;0.1;
118;L3 2b;199;L3;2b;999999;15.0;22.0;25.0;30.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;130.0;130.0;105.0;75.0;0.0;0.4;0.5;0.1;
119;L3 2a;199;L3;2a;999999;15.0;22.0;20.0;25.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;115.0;115.0;100.0;70.0;0.0;0.4;0.5;0.1;
120;L3 1b;199;L3;1b;999999;15.0;22.0;15.0;20.0;14.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;80.0;80.0;70.0;70.0;0.0;0.4;0.5;0.1;
121;L3 1a;199;L3;1a;999999;15.0;22.0;10.0;15.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
122;L2 6;199;L2;6;999999;6.5;14.5;60.0;999.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;290.0;145.0;110.0;75.0;0.05;0.45;0.4;0.1;
123;L2 5;199;L2;5;999999;6.5;14.5;50.0;60.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;290.0;140.0;110.0;75.0;0.05;0.5;0.35;0.1;
124;L2 4;199;L2;4;999999;6.5;14.5;40.0;50.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;140.0;140.0;115.0;75.0;0.0;0.5;0.4;0.1;
125;L2 3b;199;L2;3b;999999;6.5;14.5;35.0;40.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;135.0;115.0;75.0;0.0;0.5;0.4;0.1;
126;L2 3a;199;L2;3a;999999;6.5;14.5;30.0;35.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;135.0;115.0;75.0;0.0;0.5;0.4;0.1;
127;L2 2b;199;L2;2b;999999;6.5;14.5;25.0;30.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;130.0;130.0;105.0;75.0;0.0;0.4;0.5;0.1;
128;L2 2a;199;L2;2a;999999;6.5;14.5;20.0;25.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;115.0;115.0;100.0;70.0;0.0;0.4;0.5;0.1;
129;L2 1b;199;L2;1b;999999;6.5;14.5;15.0;20.0;14.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;80.0;80.0;70.0;70.0;0.0;0.4;0.5;0.1;
130;L2 1a;199;L2;1a;999999;6.5;14.5;10.0;15.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
131;L1 6;199;L1;6;999999;3.0;6.0;60.0;999.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;290.0;190.0;105.0;75.0;0.05;0.45;0.4;0.1;
132;L1 5;199;L1;5;999999;3.0;6.0;50.0;60.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;290.0;170.0;105.0;75.0;0.05;0.5;0.35;0.1;
133;L1 4;199;L1;4;999999;3.0;6.0;40.0;50.0;22.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;150.0;150.0;110.0;75.0;0.0;0.5;0.4;0.1;
134;L1 3b;199;L1;3b;999999;3.0;6.0;35.0;40.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;135.0;135.0;110.0;75.0;0.0;0.5;0.4;0.1;
135;L1 3a;199;L1;3a;999999;3.0;6.0;30.0;35.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;130.0;130.0;110.0;75.0;0.0;0.5;0.4;0.1;
136;L1 2b;199;L1;2b;999999;3.0;6.0;25.0;30.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;125.0;125.0;105.0;75.0;0.0;0.4;0.5;0.1;
137;L1 2a;199;L1;2a;999999;3.0;6.0;20.0;25.0;18.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;115.0;115.0;100.0;70.0;0.0;0.4;0.5;0.1;
138;L1 1b;199;L1;1b;999999;3.0;6.0;15.0;20.0;14.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;80.0;80.0;70.0;70.0;0.0;0.4;0.5;0.1;
139;L1 1a;199;L1;1a;999999;3.0;6.0;10.0;15.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
140;Restholz;199;Restholz;Restholz;999999;0.0;999.0;0.0;999.0;0.0;999.0;0.0;0.0;0.3;999.0;0.0;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
141;L1 6;200;L1;6;999999;3.0;6.0;60.0;999.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;171.0;145.0;90.0;65.0;0.05;0.4;0.35;0.2;
142;L1 5;200;L1;5;999999;3.0;6.0;50.0;60.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;171.0;135.0;85.0;65.0;0.03;0.37;0.4;0.2;
143;L1 4;200;L1;4;999999;3.0;6.0;40.0;50.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;130.0;110.0;80.0;65.0;0.02;0.28;0.5;0.2;
144;L1 3b;200;L1;3b;999999;3.0;6.0;35.0;40.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;95.0;85.0;75.0;65.0;0.02;0.18;0.5;0.3;
145;L1 3a;200;L1;3a;999999;3.0;6.0;30.0;35.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;85.0;75.0;65.0;65.0;0.02;0.18;0.5;0.3;
146;L1 2b;200;L1;2b;999999;3.0;6.0;25.0;30.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
147;L1 2a;200;L1;2a;999999;3.0;6.0;20.0;25.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
148;L1 1b;200;L1;1b;999999;3.0;6.0;15.0;20.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
149;L1 1a;200;L1;1a;999999;3.0;6.0;10.0;15.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
150;Restholz;200;Restholz;Restholz;999999;0.0;999.0;0.0;999.0;0.0;999.0;0.0;0.0;0.3;999.0;0.0;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
151;L1 6;201;L1;6;999999;3.0;6.0;60.0;999.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;582.0;450.0;160.0;80.0;0.05;0.4;0.35;0.2;
152;L1 5;201;L1;5;999999;3.0;6.0;50.0;60.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;582.0;380.0;140.0;80.0;0.03;0.37;0.4;0.2;
153;L1 4;201;L1;4;999999;3.0;6.0;40.0;50.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;400.0;300.0;120.0;75.0;0.02;0.28;0.5;0.2;
154;L1 3b;201;L1;3b;999999;3.0;6.0;35.0;40.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;300.0;200.0;100.0;70.0;0.02;0.18;0.5;0.3;
155;L1 3a;201;L1;3a;999999;3.0;6.0;30.0;35.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;200.0;120.0;80.0;70.0;0.02;0.18;0.5;0.3;
156;L1 2b;201;L1;2b;999999;3.0;6.0;25.0;30.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;60.0;60.0;60.0;60.0;0.0;0.0;0.0;1.0;
157;L1 2a;201;L1;2a;999999;3.0;6.0;20.0;25.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;60.0;60.0;60.0;60.0;0.0;0.0;0.0;1.0;
158;L1 1b;201;L1;1b;999999;3.0;6.0;15.0;20.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;60.0;60.0;60.0;60.0;0.0;0.0;0.0;1.0;
159;L1 1a;201;L1;1a;999999;3.0;6.0;10.0;15.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;60.0;60.0;60.0;60.0;0.0;0.0;0.0;1.0;
160;Restholz;201;Restholz;Restholz;999999;0.0;999.0;0.0;999.0;0.0;999.0;0.0;0.0;0.3;999.0;0.0;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
161;L1 6;202;L1;6;999999;3.0;6.0;60.0;999.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;224.0;190.0;100.0;60.0;0.05;0.4;0.35;0.2;
162;L1 5;202;L1;5;999999;3.0;6.0;50.0;60.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;224.0;160.0;90.0;60.0;0.03;0.37;0.4;0.2;
163;L1 4;202;L1;4;999999;3.0;6.0;40.0;50.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;180.0;130.0;80.0;60.0;0.02;0.28;0.5;0.2;
164;L1 3b;202;L1;3b;999999;3.0;6.0;35.0;40.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;150.0;100.0;80.0;60.0;0.02;0.18;0.5;0.3;
165;L1 3a;202;L1;3a;999999;3.0;6.0;30.0;35.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;120.0;85.0;80.0;60.0;0.02;0.18;0.5;0.3;
166;L1 2b;202;L1;2b;999999;3.0;6.0;25.0;30.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
167;L1 2a;202;L1;2a;999999;3.0;6.0;20.0;25.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
168;L1 1b;202;L1;1b;999999;3.0;6.0;15.0;20.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
169;L1 1a;202;L1;1a;999999;3.0;6.0;10.0;15.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
170;Restholz;202;Restholz;Restholz;999999;0.0;999.0;0.0;999.0;0.0;999.0;0.0;0.0;0.3;999.0;0.0;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
171;L1 6;203;L1;6;999999;3.0;6.0;60.0;999.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;542.0;380.0;110.0;60.0;0.05;0.4;0.35;0.2;
172;L1 5;203;L1;5;999999;3.0;6.0;50.0;60.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;542.0;320.0;105.0;60.0;0.03;0.37;0.4;0.2;
173;L1 4;203;L1;4;999999;3.0;6.0;40.0;50.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;400.0;250.0;100.0;60.0;0.02;0.28;0.5;0.2;
174;L1 3b;203;L1;3b;999999;3.0;6.0;35.0;40.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;300.0;150.0;90.0;60.0;0.02;0.18;0.5;0.3;
175;L1 3a;203;L1;3a;999999;3.0;6.0;30.0;35.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;200.0;120.0;70.0;60.0;0.02;0.18;0.5;0.3;
176;L1 2b;203;L1;2b;999999;3.0;6.0;25.0;30.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
177;L1 2a;203;L1;2a;999999;3.0;6.0;20.0;25.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
178;L1 1b;203;L1;1b;999999;3.0;6.0;15.0;20.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
179;L1 1a;203;L1;1a;999999;3.0;6.0;10.0;15.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
180;Restholz;203;Restholz;Restholz;999999;0.0;999.0;0.0;999.0;0.0;999.0;0.0;0.0;0.3;999.0;0.0;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
181;L1 6;299;L1;6;999999;3.0;6.0;60.0;999.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;171.0;145.0;90.0;65.0;0.05;0.4;0.35;0.2;
182;L1 5;299;L1;5;999999;3.0;6.0;50.0;60.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;171.0;135.0;85.0;65.0;0.03;0.37;0.4;0.2;
183;L1 4;299;L1;4;999999;3.0;6.0;40.0;50.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;130.0;110.0;80.0;65.0;0.02;0.28;0.5;0.2;
184;L1 3b;299;L1;3b;999999;3.0;6.0;35.0;40.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;95.0;85.0;75.0;65.0;0.02;0.18;0.5;0.3;
185;L1 3a;299;L1;3a;999999;3.0;6.0;30.0;35.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;85.0;75.0;65.0;65.0;0.02;0.18;0.5;0.3;
186;L1 2b;299;L1;2b;999999;3.0;6.0;25.0;30.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
187;L1 2a;299;L1;2a;999999;3.0;6.0;20.0;25.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
188;L1 1b;299;L1;1b;999999;3.0;6.0;15.0;20.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
189;L1 1a;299;L1;1a;999999;3.0;6.0;10.0;15.0;0.0;999.0;10.0;0.0;0.3;999.0;0.5;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
190;Restholz;299;Restholz;Restholz;999999;0.0;999.0;0.0;999.0;0.0;999.0;0.0;0.0;0.3;999.0;0.0;MaximalLaenge;ZuUnterst;50.0;50.0;50.0;50.0;0.0;0.0;0.0;1.0;
